municipality_name,Latitude,Longitude
Żórawina,50.9800904,17.0409458
Bardo,50.50676,16.7402382
Ciepłowody,50.6756265,16.9087204
Kamieniec Ząbkowicki,50.5229139,16.8736143
Stoszowice,50.5996571,16.737964
Ząbkowice Śląskie,50.5892698,16.8111518
Ziębice,50.6007752,17.0405633
Złoty Stok,50.4445454,16.8756509
Zawidów,51.0257493,15.0610053
Zgorzelec,51.15178695,15.014432971933283
Bogatynia,50.9077147,14.9539185
Pieńsk,51.2457834,15.0449871
Sulików,51.0769746,15.0649842
Węgliniec,51.2871203,15.2241355
Zgorzelec,51.15178695,15.014432971933283
Wojcieszów,50.9559192,15.928300756896551
Złotoryja,51.122408899999996,15.919447631385701
Pielgrzymka,50.9807745,21.9264353
Świerzawa,51.0150774,15.8920701
Zagrodno,51.1890084,15.862795
Złotoryja,51.122408899999996,15.919447631385701
Jelenia Góra,50.8501049,15.653749235408073
Legnica,51.2081617,16.1603187
Wrocław,51.1263106,16.97819633051261
Wałbrzych,50.785221,16.284640336127822
Aleksandrów Kujawski,52.87646465,18.6940709811346
Ciechocinek,52.883941300000004,18.80326826019677
Nieszawa,52.8396506,18.885163269944535
Aleksandrów Kujawski,52.87646465,18.6940709811346
Bądkowo,52.7523395,20.6170749
Koneck,52.78401,18.71609
Raciążek,52.8573597,18.8109378
Waganiec,52.8030022,18.8768049
Zakrzewo,51.4282254,16.8201604
Brodnica,53.258092,19.3993626
Bobrowo,54.26993,21.36008
Brodnica,53.258092,19.3993626
Brzozie,53.3257145,19.60188
Górzno,53.1980846,19.6445713
Bartniczka,53.2476132,19.6076612
Jabłonowo Pomorskie,53.387984,19.1527034
Osiek,50.5194515,21.4425619
Świedziebnia,53.1523277,19.5582979
Zbiczno,53.3394871,19.3777504
Białe Błota,52.89522,18.7071
Dąbrowa Chełmińska,53.1760827,18.3025087
Dobrcz,53.265326,18.1463757
Koronowo,53.3140636,17.9369813
Nowa Wieś Wielka,54.180841,20.5072054
Osielsko,53.1862966,18.0769779
Sicienko,53.0131471,14.8755607
Solec Kujawski,53.0791965,18.2246086
Chełmno,53.35250284999999,18.440424707276136
Chełmno,53.35250284999999,18.440424707276136
Kijewo Królewskie,53.2735046,18.445195
Lisewo,54.0970049,18.830126
Papowo Biskupie,53.2495579,18.5640254
Stolno,54.0537424,20.1058614
Unisław,51.7716829,17.3688412
Golub-Dobrzyń,53.1138924,19.0544501
Ciechocin,53.6131713,17.7008693
Golub-Dobrzyń,53.1138924,19.0544501
Kowalewo Pomorskie,53.1543137,18.8975473
Radomin,53.4197908,20.4430932
Zbójno,52.7507636,19.7512056
Grudziądz,53.47251195,18.761893676880046
Gruta,53.4604143,18.9667958
Łasin,53.5196526,19.0870311
Radzyń Chełmiński,53.385006,18.9351906
Rogóźno,51.981775,19.4490915
Świecie nad Osą,53.4441995,19.1066095
Inowrocław,52.7952408,18.2595624
Dąbrowa Biskupia,52.7772943,18.5315563
Gniewkowo,52.894429,18.4066817
Inowrocław,52.7952408,18.2595624
Janikowo,52.7531648,18.1141024
Kruszwica,52.6743797,18.3254766
Pakość,52.8073319,18.0899612
Rojewo,52.52031,15.56406
Złotniki Kujawskie,52.9016109,18.1415244
Lipno,52.8420725,19.18316282709292
Bobrowniki,51.548774,21.9333433
Chrostkowo,52.9434987,19.2532864
Dobrzyń nad Wisłą,52.6374518,19.3213714
Kikół,52.912342,19.1203393
Lipno,52.8420725,19.18316282709292
Skępe,52.8671562,19.3465204
Tłuchowo,52.7468311,19.4672663
Wielgie,52.7404241,19.2617021
Dąbrowa,52.9663293,20.2781539
Jeziora Wielkie,52.5291537,18.2681478
Mogilno,52.657341,17.9500677
Strzelno,52.6301742,18.1733807
Kcynia,52.9917668,17.4873729
Mrocza,53.2438673,17.6068949
Nakło nad Notecią,53.1386896,17.5998891
Sadki,50.474291,20.2532646
Szubin,53.0117503,17.7439402
Radziejów,52.61910615,18.529365291530983
Bytoń,50.3470387,18.9231857
Dobre,52.32171,21.67852
Osięciny,52.6290542,18.7229038
Piotrków Kujawski,52.55057,18.49872
Radziejów,52.61910615,18.529365291530983
Topólka,52.5033117,18.7127549
Rypin,53.06296225,19.419334932103737
Brzuze,53.0536334,19.2617851
Rogowo,53.0178493,21.0155846
Rypin,53.06296225,19.419334932103737
