"","mncplty_c","Longitude","Latitude","within_russian","within_prussian","within_austrian"
"1138","1420072",20.3397132867047,52.5198767457272,TRUE,FALSE,FALSE
"1139","1420082",20.647989882335,52.6557202889531,TRUE,FALSE,FALSE
"1140","1420092",20.3888935091258,52.6184569917685,TRUE,FALSE,FALSE
"1141","1420102",20.1271605919129,52.7857023531072,TRUE,FALSE,FALSE
"1142","1420112",20.4832704901461,52.6830962747291,TRUE,FALSE,FALSE
"1143","1420122",20.5109466909311,52.5148339312554,TRUE,FALSE,FALSE
"1144","1421011",20.8444686297197,52.1849226055944,TRUE,FALSE,FALSE
"1145","1421021",20.8008893814929,52.1721170292754,TRUE,FALSE,FALSE
"1146","1421033",20.7262706243965,52.1487834036359,TRUE,FALSE,FALSE
"1147","1421042",20.85376769828,52.1518787706171,TRUE,FALSE,FALSE
"1148","1421052",20.7940570320239,52.0689605315984,TRUE,FALSE,FALSE
"1149","1421062",20.9129126493543,52.1282655777008,TRUE,FALSE,FALSE
"1150","1422011",20.882744668833,53.0194416930017,TRUE,FALSE,FALSE
"1151","1422023",20.9251860857274,53.2711016493366,TRUE,TRUE,FALSE
"1152","1422032",20.7548355884127,53.0392004177797,TRUE,FALSE,FALSE
"1153","1422042",21.0549967592234,53.1601668040882,TRUE,FALSE,FALSE
"1154","1422052",20.8935201230767,52.9209272133452,TRUE,FALSE,FALSE
"1155","1422062",20.8164005995137,53.1557820520032,TRUE,FALSE,FALSE
"1156","1422072",20.9258546602356,53.0250490422219,TRUE,FALSE,FALSE
"1157","1423012",20.6918637626901,51.3022923740791,TRUE,FALSE,FALSE
"1158","1423022",20.4966975045228,51.3828101764493,TRUE,FALSE,FALSE
"1159","1423032",20.64141779124,51.524974160028,TRUE,FALSE,FALSE
"1160","1423042",20.5106941635425,51.5467458035643,TRUE,FALSE,FALSE
"1161","1423052",20.736380333904,51.485034250028,TRUE,FALSE,FALSE
"1162","1423063",20.6064241167207,51.3377075410354,TRUE,FALSE,FALSE
"1163","1423072",20.59629435495,51.4432016543957,TRUE,FALSE,FALSE
"1164","1423082",20.7865620469162,51.3704882434617,TRUE,FALSE,FALSE
"1165","1424012",20.9105616311705,52.741922405318,TRUE,FALSE,FALSE
"1166","1424022",21.2321767923705,52.7232787367554,TRUE,FALSE,FALSE
"1167","1424032",21.0460655329265,52.6010159712819,TRUE,FALSE,FALSE
"1168","1424043",21.0753619637591,52.7290913853177,TRUE,FALSE,FALSE
"1169","1424052",20.7929014723457,52.6749105827264,TRUE,FALSE,FALSE
"1170","1424062",20.9317801142919,52.6357891296605,TRUE,FALSE,FALSE
"1171","1424072",21.1908259721412,52.6234209229242,TRUE,FALSE,FALSE
"1172","1425011",21.4497370723981,51.4741247633696,TRUE,FALSE,FALSE
"1173","1425022",21.3398276687582,51.3691439900849,TRUE,FALSE,FALSE
"1174","1425033",21.2461809166973,51.1647876956583,TRUE,FALSE,FALSE
"1175","1425042",21.2419232383982,51.513374750592,TRUE,FALSE,FALSE
"1176","1425052",21.1193011293626,51.5236523546246,TRUE,FALSE,FALSE
"1177","1425062",21.3175580995232,51.4167760573222,TRUE,FALSE,FALSE
"1178","1425072",21.1017260169168,51.3248911747686,TRUE,FALSE,FALSE
"1179","1425082",21.4189713947993,51.4793230556484,TRUE,FALSE,FALSE
"1180","1425092",20.8692383357085,51.4666200855082,TRUE,FALSE,FALSE
"1181","1425103",21.2586351612801,51.2946550438177,TRUE,FALSE,FALSE
"1182","1425112",21.0982989149539,51.2488171590597,TRUE,FALSE,FALSE
"1183","1425122",20.9504490908809,51.3797454886704,TRUE,FALSE,FALSE
"1184","1425132",21.0232917989491,51.4427597270232,TRUE,FALSE,FALSE
"1185","1426012",22.1591830999654,52.0382281674016,TRUE,FALSE,FALSE
"1186","1426022",22.6245066647054,52.3578628669412,TRUE,FALSE,FALSE
"1187","1426032",22.0274432628963,52.170266088604,TRUE,FALSE,FALSE
"1188","1426042",22.1339367978896,52.2598282366156,TRUE,FALSE,FALSE
"1189","1426053",22.507402697498,52.1967857848447,TRUE,FALSE,FALSE
"1190","1426062",22.4465404578125,52.2903367386379,TRUE,FALSE,FALSE
"1191","1426072",22.6146200063599,52.2773541480967,TRUE,FALSE,FALSE
"1192","1426082",22.2999227521754,52.1744983067073,TRUE,FALSE,FALSE
"1193","1426092",22.1135778363791,52.1029303445495,TRUE,FALSE,FALSE
"1194","1426102",22.2889565467545,52.2626920910642,TRUE,FALSE,FALSE
"1195","1426112",22.2917629610724,52.065100712946,TRUE,FALSE,FALSE
"1196","1426122",21.9770820192398,52.0372457718203,TRUE,FALSE,FALSE
"1197","1426132",22.495238743116,52.0859832235034,TRUE,FALSE,FALSE
"1198","1427011",19.6669616008069,52.8539318127903,TRUE,FALSE,FALSE
"1199","1427022",19.7002250984136,52.7333600313402,TRUE,FALSE,FALSE
"1200","1427032",19.5384164148596,52.780335604187,TRUE,FALSE,FALSE
"1201","1427042",19.7631943010051,52.9096853417133,TRUE,FALSE,FALSE
"1202","1427052",19.6615947312712,52.8358437876977,TRUE,FALSE,FALSE
"1203","1427062",19.571312686571,52.9249656004821,TRUE,FALSE,FALSE
"1204","1427072",19.877149410676,52.8177378254373,TRUE,FALSE,FALSE
"1205","1428011",20.2528919214072,52.2350692988539,TRUE,FALSE,FALSE
"1206","1428022",20.3252445697656,52.3418540860518,TRUE,FALSE,FALSE
"1207","1428032",20.0363643337188,52.3274053691381,TRUE,FALSE,FALSE
"1208","1428042",20.1863524719421,52.3194169008849,TRUE,FALSE,FALSE
"1209","1428052",20.1923945035362,52.1616651450957,TRUE,FALSE,FALSE
"1210","1428062",20.1055258752255,52.2381141124321,TRUE,FALSE,FALSE
"1211","1428072",20.2692385736578,52.2250834841279,TRUE,FALSE,FALSE
"1212","1428082",20.393354463962,52.1913752347772,TRUE,FALSE,FALSE
"1213","1429011",22.2355876332158,52.4085250985705,TRUE,FALSE,FALSE
"1214","1429022",22.2412875043314,52.3353964260624,TRUE,FALSE,FALSE
"1215","1429032",22.2204455998924,52.6507031194969,TRUE,FALSE,FALSE
"1216","1429042",22.4531226541822,52.4863135551696,TRUE,FALSE,FALSE
"1217","1429053",22.1160668132747,52.5860472801157,TRUE,FALSE,FALSE
"1218","1429062",22.4308122955459,52.3811164434584,TRUE,FALSE,FALSE
"1219","1429072",22.3006062253365,52.4935789224522,TRUE,FALSE,FALSE
"1220","1429082",22.2009269195134,52.417696553975,TRUE,FALSE,FALSE
"1221","1429092",22.3296229074053,52.5789638433796,TRUE,FALSE,FALSE
"1222","1430012",20.7440511695468,51.2378649282738,TRUE,FALSE,FALSE
"1223","1430022",20.9624143802093,51.2414539889806,TRUE,FALSE,FALSE
"1224","1430032",21.0143483103798,51.1894234746638,TRUE,FALSE,FALSE
"1225","1430042",20.9550623195781,51.319602042815,TRUE,FALSE,FALSE
"1226","1430053",20.8510645800715,51.230177574691,TRUE,FALSE,FALSE
"1227","1432013",20.5889227361172,52.20222132904,TRUE,FALSE,FALSE
"1228","1432022",20.7869784552629,52.3121439477029,TRUE,FALSE,FALSE
"1229","1432032",20.4213342183473,52.2743697496466,TRUE,FALSE,FALSE
"1230","1432042",20.6036980482664,52.2753468818718,TRUE,FALSE,FALSE
"1231","1432053",20.8695369992627,52.3494416778528,TRUE,FALSE,FALSE
"1232","1432063",20.7648655599312,52.2172769588482,TRUE,FALSE,FALSE
"1233","1432072",20.7901230438912,52.2632907266967,TRUE,FALSE,FALSE
"1234","1433011",22.0339620806461,52.4045751932695,TRUE,FALSE,FALSE
"1235","1433022",21.9632507403846,52.2641689250656,TRUE,FALSE,FALSE
"1236","1433032",21.8158429296696,52.4223019978521,TRUE,FALSE,FALSE
"1237","1433042",22.0081798538183,52.3877251569163,TRUE,FALSE,FALSE
"1238","1433053",21.7171385261922,52.5536410233095,TRUE,FALSE,FALSE
"1239","1433062",22.0578373755854,52.4939559652357,TRUE,FALSE,FALSE
"1240","1433072",21.8578447000463,52.6367512176367,TRUE,FALSE,FALSE
"1241","1433082",21.9056665085268,52.5444763033288,TRUE,FALSE,FALSE
"1242","1433092",21.8512537045831,52.3179218434303,TRUE,FALSE,FALSE
"1243","1434011",21.1934504012462,52.3375849782142,TRUE,FALSE,FALSE
"1244","1434021",21.1206050705673,52.3348596118753,TRUE,FALSE,FALSE
"1245","1434031",21.1165537825623,52.2927035481042,TRUE,FALSE,FALSE
"1246","1434041",21.2674184103722,52.2868806344682,TRUE,FALSE,FALSE
"1247","1434052",21.2658371553738,52.4892030057024,TRUE,FALSE,FALSE
"1248","1434062",21.609163545099,52.4838697359125,TRUE,FALSE,FALSE
"1249","1434072",21.3283201479991,52.4118523333375,TRUE,FALSE,FALSE
"1250","1434082",21.410736801369,52.3338039850658,TRUE,FALSE,FALSE
"1251","1434093",21.1614148848901,52.4312799821727,TRUE,FALSE,FALSE
"1252","1434102",21.6158209615801,52.4017676232186,TRUE,FALSE,FALSE
"1253","1434113",21.4651466660514,52.4208647694181,TRUE,FALSE,FALSE
"1254","1434123",21.2669481604409,52.348082816564,TRUE,FALSE,FALSE
"1255","1435012",21.601955196497,52.6615828124636,TRUE,FALSE,FALSE
"1256","1435022",21.575732992129,52.7634308348088,TRUE,FALSE,FALSE
"1257","1435032",21.391829887943,52.7043746277347,TRUE,FALSE,FALSE
"1258","1435042",21.2669449470882,52.5709215372135,TRUE,FALSE,FALSE
"1259","1435053",21.4587753135603,52.5836200476539,TRUE,FALSE,FALSE
"1260","1435062",21.4383738610088,52.5058925418396,TRUE,FALSE,FALSE
"1261","1436012",21.4286846803272,51.2684119542965,TRUE,FALSE,FALSE
"1262","1436022",21.6739566564389,51.4338114113871,TRUE,FALSE,FALSE
"1263","1436032",21.7599733820329,51.3299856868866,TRUE,FALSE,FALSE
"1264","1436042",21.4607952037801,51.3307324173727,TRUE,FALSE,FALSE
"1265","1436053",21.5851314037695,51.3588328586995,TRUE,FALSE,FALSE
"1266","1437013",19.9360159384658,52.9592637594725,TRUE,FALSE,FALSE
"1267","1437022",20.0424249384669,53.1064061678022,TRUE,TRUE,FALSE
"1268","1437033",19.8087944578342,53.1200217859181,TRUE,TRUE,FALSE
"1269","1437042",19.7694827077528,53.0013463171947,TRUE,FALSE,FALSE
"1270","1437052",20.0357400553459,52.8781095997991,TRUE,FALSE,FALSE
"1271","1437063",19.91355321795,53.0461083253911,TRUE,FALSE,FALSE
"1272","1438011",20.4440983906482,52.0560710660444,TRUE,FALSE,FALSE
"1273","1438023",20.5488383274992,51.9339028876736,TRUE,FALSE,FALSE
"1274","1438032",20.3342698510139,51.9812779503439,TRUE,FALSE,FALSE
"1275","1438042",20.5410880072228,52.0171849141023,TRUE,FALSE,FALSE
"1276","1438052",20.3458276892126,52.0806938409294,TRUE,FALSE,FALSE
"1277","1461011",21.5885226570651,53.0812980712207,TRUE,FALSE,FALSE
"1278","1462011",19.7028957961123,52.5374471006451,TRUE,FALSE,FALSE
"1279","1463011",21.1571803459649,51.4062211607026,TRUE,FALSE,FALSE
"1280","1464011",22.2713544161415,52.1646689665673,TRUE,FALSE,FALSE
"1281","1465011",21.0484209543815,52.2294232851333,TRUE,FALSE,FALSE
"1282","1601011",17.4647477954494,50.8582346885248,FALSE,TRUE,FALSE
"1283","1601022",17.4526031287654,50.8479155158327,FALSE,TRUE,FALSE
"1284","1601033",17.3535700170627,50.6885170448805,FALSE,TRUE,FALSE
"1285","1601043",17.6286529164226,50.7592559380215,FALSE,TRUE,FALSE
"1286","1601052",17.5551850487642,50.9219637517197,FALSE,TRUE,FALSE
"1287","1601062",17.4586491568359,50.7789804284915,FALSE,TRUE,FALSE
"1288","1602013",17.9771962884987,50.1472374568012,FALSE,TRUE,FALSE
"1289","1602022",17.8256345136141,50.0613867606377,FALSE,TRUE,FALSE
"1290","1602033",17.7864964617517,50.1979680281052,FALSE,TRUE,FALSE
"1291","1602043",17.945035028846,50.0582014211497,FALSE,TRUE,FALSE
"1292","1603011",18.2415768649355,50.3513046056329,FALSE,TRUE,FALSE
"1293","1603022",18.3169588399904,50.2851825535241,FALSE,TRUE,FALSE
"1294","1603032",18.2014657820598,50.2484267360631,FALSE,TRUE,FALSE
"1295","1603042",18.0049187181849,50.2541946245579,FALSE,TRUE,FALSE
"1296","1603052",18.1196971386893,50.2157816027051,FALSE,TRUE,FALSE
"1297","1603062",18.0940340975486,50.3321119843201,FALSE,TRUE,FALSE
"1298","1604013",18.2108048827396,51.1060458058269,TRUE,TRUE,FALSE
"1299","1604023",18.2144303512598,50.9784495514991,FALSE,TRUE,FALSE
"1300","1604032",18.2365092412681,50.8733101472723,FALSE,TRUE,FALSE
"1301","1604043",18.0396124572125,51.0417849282291,FALSE,TRUE,FALSE
"1302","1605013",18.0361749580607,50.5078829168222,FALSE,TRUE,FALSE
"1303","1605023",17.9419317533453,50.4652854119031,FALSE,TRUE,FALSE
"1304","1605032",17.8373200212335,50.4627590025497,FALSE,TRUE,FALSE
"1305","1605042",17.9954449227962,50.3905505727551,FALSE,TRUE,FALSE
