Latitude,Longitude,Miasto,count
51.758285900000004,20.25099803272574,rawa mazowiecka,1
51.6101629,16.8583657,rawicz,1
51.8926555,18.9518908,poddębice,1
50.0528608,21.6116324,ropczyce,1
50.2858001,18.8747933,ruda ślaska,1
51.6312005,16.6832882,rudna mała,1
50.0955793,18.5419933,rybnik,1
50.066404000000006,18.42450611528471,rydułtowy,1
51.8960985,17.7865673,pleszew,1
53.06296225,19.419334932103737,rypin,1
52.5089624,16.2566411,pniewy,1
53.9198663,19.0305384,sztum,1
50.5665754,22.043721171888823,stalowa wola,1
53.3379935,15.0350493,stargard,1
51.122408899999996,15.919447631385701,złotoryja,1
50.5892698,16.8111518,ząbkowice ślaskie,1
51.3564745,21.5844652,zwoleń,1
51.1477005,15.0079028,zgorzelec,1
51.8559434,19.4056443,zgierz,1
51.6028615,18.9333201,zduńska wola,1
50.4844179,19.4333887,zawiercie,1
52.975833300000005,22.23729346971591,zambrów,1
52.4333534,20.6116771,zakroczym,1
50.8520727,19.9667772,włoszczowa,1
51.54127795,23.529036806689675,włodawa,1
52.40082835,22.04647848005508,węgrów,1
54.2138162,21.7416569,węgorzewo,1
52.81220655,17.201913487483125,wągrowiec,1
53.2799665,18.947293,wąbrzeźno,1
51.6251076,20.8119331,wyśmierzyce,1
52.5928035,21.4584581,wyszków,1
52.9154988,22.5131199,wysokie mazowieckie,1
53.1569822,17.2627004,wyrzysk,1
53.3591987,17.043815994517477,złotów,1
52.9908208,22.883005,łapy,1
53.5196526,19.0870311,łasin,1
51.0740352,16.677606,świdnica,1
52.0543308,20.4435009,żyrardów,1
53.0671703,19.9078353,żuromin,1
50.0388902,18.680612383121996,żory,1
52.848462,17.7218791,żnin,1
50.2854551,18.9308513,świętochłowice,1
53.9097477,14.2510703,świnoujście,1
53.4072518,18.4455253,świecie,1
50.859573,16.3196056,świebodzice,1
52.2284266,17.277827,środa wlkp.,1
51.5929947,19.1334784,łask,1
52.054506200000006,19.198290402458163,łęczyca,1
51.3002941,22.886766,łęczna,1
51.889221,22.86582,łózki,1
51.92517375,22.37278178919829,łuków,1
52.1012259,19.9474623726871,łowicz,1
52.2115134,22.717294,łosice,1
53.18243065,22.052183817808846,łomża,1
50.069594949999995,22.233505598976215,łańcut,1
51.8038354,16.3172771,wschowa,1
52.3250694,17.5652282,września,1
51.3363841,16.6486903,wołów,1
,,szawno-zdrój,1
52.3557481,14.5662367,słubice,1
50.564781,20.0538047,sędziszów,1
53.0117503,17.7439402,szubin,1
54.0626346,19.6565365,pasłęk,1
51.5650714,15.5367584,szprotawa,1
53.565489,20.991589,szczytno,1
53.70234205,16.70713424642978,szczecinek,1
50.6946972,22.9786754,szczebrzeszyn,1
52.6120328,16.5831241,szamotuły,1
54.4649331,17.028073,słupsk,1
52.4413768,15.1161501,sulęcin,1
52.2433944,21.2777123,sulejówek,1
52.0854782,15.6259091,sulechów,1
53.578557,23.1058224,suchowola,1
49.73231525,19.58229896036321,sucha beskidzka,1
49.8702087,21.7856291,strzyżów,1
50.78092,17.0683947,strzelin,1
50.5612276,21.1677849,staszów,1
52.2872924,17.8713612,słupca,1
50.58372,21.711638132824728,tarnobrzeg,1
52.3468689,21.2420179,wołomin,1
52.2540879,21.2242009,warszawa wesoła,1
52.11725,16.1126622,wolsztyn,1
50.0024107,18.4630383,wodzisław śląski,1
53.3525453,17.4873925,więcbork,1
50.949566,17.0933204,wilkowice,1
51.2951647,18.1510623,wieruszów,1
51.2204544,18.5700965,wieluń,1
54.6026348,18.247934,wejherowo,1
53.27285375,16.476817657727903,wałcz,1
51.7850969,21.1833835,warka,1
52.4657445,16.6664446,tarnowo podgórne,1
49.8834484,19.4925345,wadowice,1
49.4301874,22.5877003,ustrzyki dolne,1
,,ul. ks. j.poniatowskiego 1 (stadionie pge narodowy),1
53.5880901,17.8590414,tuchola,1
51.3096424,17.062596,trzebnica,1
51.5316918,20.0084195,tomaszów mazowiecki,1
50.4469315,23.4165561,tomaszów lubelski,1
54.0869532,18.8000293,tczew,1
52.0747377,21.0270885,piaseczno,1
53.60826,20.31823,ameryka,1
51.639,22.9,parczew,1
51.8655126,20.8675017,grójec,1
53.9148529,15.1987062,gryfice,1
53.4876477,18.7557746,grudziądz,1
52.2263198,16.3628106,grodzisk wielkopolski,1
52.1066223,20.6313441,grodzisk mazowiecki ,1
52.1066223,20.6313441,grodzisk mazowiecki,1
50.698157,17.3849804,grodków,1
51.4711028,21.8119833,granica,1
54.3080218,22.3018802,gołdap,1
51.6501724,15.8953111,gostyń,1
52.4287607,19.4612956,gostynin,1
52.48702,19.51932,gorzewo,1
49.6663323,21.16348426717198,gorlice,1
53.1138924,19.0544501,golub-dobrzyń,1
53.5656939,14.8299285,goleniów,1
54.040092,21.7713092,giżycko,1
51.8973315,21.6149645,garwolin,1
52.7396681,14.7014522,dębno,1
51.562491,21.8654383,dęblin,1
50.1743495,20.9850707,dąbrowa tarnowska,1
53.2535889,14.4924243,gryfino,1
51.9843765,21.2140226,góra kalwaria,1
50.7291725,16.656753139456175,dzierżoniów,1
50.84859,20.82244,górno,1
50.4808298,23.0540591,józefów,1
52.1006181,21.0468759,józefosław,1
54.1208333,21.6152778,jerzykowo,1
50.1894999,19.272511168425055,jaworzno,1
51.0504653,16.1932008,jawor,1
49.746962749999994,21.493576018400987,jasło,1
50.0159029,22.6796573,jarosław,1
51.9739233,17.5011254,jarocin,1
51.9689115,17.2981142,jaraczewo,1
50.7065895,22.4110663,janów lubelski,1
51.1624174,21.2374622,iłża,1
53.5976095,19.5612175,iława,1
50.80679625,23.886349876429893,hrubieszów,1
54.6066432,18.8027076,hel,1
52.7365783,23.5878728,hajnówka,1
50.3170828,17.3833809,głuchołazy,1
50.2001072,17.8301977,głubczyce,1
51.96239825,19.71166242050556,głowno,1
51.67019285,16.06140366346836,głogów,1
53.654439,23.3485102,dąbrowa białostocka,1
53.2406366,20.184686473571944,działdowo,1
51.30598,20.11393,paradyż,1
51.0152225,22.534535,bychawa,1
51.80066075,19.74462059147693,brzeziny,1
50.8614882,17.470497,brzeg,1
53.2580224,19.405433708150433,brodnica,1
54.37918145,19.822121114515234,braniewo,1
51.262169150000005,15.5550197073441,bolesławiec,1
50.9077147,14.9539185,bogatynia,1
50.7820239,18.9684255,blachownia,1
50.5424846,22.7209326,biłgoraj,1
53.8688,20.95518,biskupiec,1
50.0931922,19.0918262,bieruń,1
52.764915,23.188210662123517,bielsk podlaski,1
54.0064367,15.9870974,białogard,1
51.6482305,20.9497458,białobrzegi,1
52.029031849999996,23.14940947957289,biała podlaska,1
52.7962925,23.2369031,biała,1
51.175063,22.2749995,bełżyce,1
51.354704600000005,19.376919902970144,bełchatów,1
54.2523708,20.8143702,bartoszyce,1
52.9920762,15.2166391,barlinek,1
49.6950395,22.0196537,brzozów,1
50.2968684,16.652017,bystrzyca kłodzka,1
53.0807067,21.5281829,drężewo,1
54.1694592,17.4890263,bytów,1
52.8398486,15.8318163,drezdenko,1
,,drawsko pom.,1
53.9868899,20.3973402,dobre miasto,1
