Kod TERYT,Gmina,Powiat,Województwo,Liczba wyborców uprawnionych do głosowania,Liczba otrzymanych kopert zwrotnych,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,PO,Konfederacja,PSL,PIS,SLD,Inne
20101,m. Bolesławiec,bolesławiecki,dolnośląskie,29895,4,0,18199,210,17989,4308,1109,972,6445.0,3997,1158.0
20102,gm. Bolesławiec,bolesławiecki,dolnośląskie,11171,0,1,6316,93,6223,1197,472,577,2716.0,930,331.0
20103,gm. Gromadka,bolesławiecki,dolnośląskie,4306,0,0,2275,55,2220,287,117,154,1128.0,428,106.0
20104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,11683,0,0,5700,109,5591,878,432,537,2980.0,545,219.0
20105,gm. Osiecznica,bolesławiecki,dolnośląskie,5392,0,0,2693,67,2626,509,183,216,1200.0,410,108.0
20106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,6651,0,1,3425,56,3369,624,245,285,1667.0,406,142.0
20201,m. Bielawa,dzierżoniowski,dolnośląskie,23936,0,1,12941,186,12755,3474,725,901,5264.0,1856,535.0
20202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,26022,3,3,15498,157,15341,4638,811,2044,5908.0,1667,273.0
20203,m. Pieszyce,dzierżoniowski,dolnośląskie,7485,0,0,3876,72,3804,1096,225,304,1766.0,318,95.0
20204,m. Piława Górna,dzierżoniowski,dolnośląskie,4963,1,0,2529,32,2497,487,172,290,1250.0,240,58.0
20205,gm. Dzierżoniów,dzierżoniowski,dolnośląskie,7370,0,0,4102,67,4035,809,231,520,2070.0,336,69.0
20206,gm. Łagiewniki,dzierżoniowski,dolnośląskie,5967,1,0,3237,46,3191,620,193,297,1793.0,239,49.0
20207,gm. Niemcza,dzierżoniowski,dolnośląskie,4453,0,0,2248,44,2204,494,116,256,1062.0,241,35.0
20301,m. Głogów,głogowski,dolnośląskie,51453,2,7,31440,256,31184,8615,1608,1346,13285.0,5512,818.0
20302,gm. Głogów,głogowski,dolnośląskie,5237,0,0,3268,60,3208,745,186,231,1550.0,432,64.0
20303,gm. Jerzmanowa,głogowski,dolnośląskie,3853,0,0,2496,45,2451,577,158,166,1056.0,435,59.0
20304,gm. Kotla,głogowski,dolnośląskie,3398,0,0,1717,34,1683,355,77,93,921.0,193,44.0
20305,gm. Pęcław,głogowski,dolnośląskie,1732,0,0,868,22,846,102,39,131,525.0,42,7.0
20306,gm. Żukowice,głogowski,dolnośląskie,2681,0,0,1404,35,1369,263,86,99,704.0,185,32.0
20401,gm. Góra,górowski,dolnośląskie,15265,1,1,7868,98,7770,2076,446,567,3433.0,920,328.0
20402,gm. Jemielno,górowski,dolnośląskie,2405,0,0,1148,25,1123,177,57,110,650.0,106,23.0
20403,gm. Niechlów,górowski,dolnośląskie,3771,0,0,1824,30,1794,258,97,147,1105.0,140,47.0
20404,gm. Wąsosz,górowski,dolnośląskie,5735,0,0,2855,64,2791,533,149,266,1393.0,352,98.0
20501,m. Jawor,jaworski,dolnośląskie,18180,2,9,10514,118,10396,2643,583,803,4779.0,1385,203.0
20502,gm. Bolków,jaworski,dolnośląskie,8204,0,0,4100,109,3991,700,206,448,1805.0,770,62.0
20503,gm. Męcinka,jaworski,dolnośląskie,3942,0,0,2169,24,2145,347,116,211,1230.0,213,28.0
20504,gm. Mściwojów,jaworski,dolnośląskie,3204,0,0,1752,27,1725,344,93,241,832.0,181,34.0
20505,gm. Paszowice,jaworski,dolnośląskie,3190,0,0,1693,31,1662,295,94,197,866.0,184,26.0
20506,gm. Wądroże Wielkie,jaworski,dolnośląskie,3204,0,1,1713,32,1681,294,72,308,852.0,132,23.0
20601,m. Karpacz,jeleniogórski,dolnośląskie,5048,0,1,3403,29,3374,1418,185,244,786.0,686,55.0
20602,m. Kowary,jeleniogórski,dolnośląskie,8374,1,0,4544,66,4478,1422,271,384,1456.0,865,80.0
20603,m. Piechowice,jeleniogórski,dolnośląskie,5011,0,0,2944,41,2903,956,192,195,939.0,576,45.0
20604,m. Szklarska Poręba,jeleniogórski,dolnośląskie,5921,0,0,3833,43,3790,1465,193,219,1086.0,754,73.0
20605,gm. Janowice Wielkie,jeleniogórski,dolnośląskie,3393,0,0,1914,38,1876,573,114,135,650.0,375,29.0
20606,gm. Jeżów Sudecki,jeleniogórski,dolnośląskie,5752,0,0,3433,33,3400,1095,195,304,1018.0,729,59.0
20607,gm. Mysłakowice,jeleniogórski,dolnośląskie,7943,0,0,4563,56,4507,1373,296,369,1634.0,756,79.0
20608,gm. Podgórzyn,jeleniogórski,dolnośląskie,6504,0,0,3761,67,3694,1246,232,298,1158.0,686,74.0
20609,gm. Stara Kamienica,jeleniogórski,dolnośląskie,4158,0,0,2161,31,2130,547,150,165,813.0,424,31.0
20701,m. Kamienna Góra,kamiennogórski,dolnośląskie,15141,0,0,8339,116,8223,2823,409,319,3273.0,1281,118.0
20702,gm. Kamienna Góra,kamiennogórski,dolnośląskie,6899,1,0,3899,70,3829,1210,229,205,1701.0,420,64.0
20703,gm. Lubawka,kamiennogórski,dolnośląskie,8728,0,0,4889,76,4813,1523,252,243,1908.0,814,73.0
20704,gm. Marciszów,kamiennogórski,dolnośląskie,3580,0,0,1831,31,1800,461,98,114,811.0,267,49.0
20801,m. Duszniki-Zdrój,kłodzki,dolnośląskie,4089,0,0,2490,27,2463,792,164,126,958.0,364,59.0
20802,m. Kłodzko,kłodzki,dolnośląskie,21449,1,1,12437,154,12283,4318,633,797,4558.0,1742,235.0
20803,m. Kudowa-Zdrój,kłodzki,dolnośląskie,8660,0,0,5277,54,5223,1661,254,383,2086.0,673,166.0
20804,m. Nowa Ruda,kłodzki,dolnośląskie,17742,1,4,9156,99,9057,3557,464,430,3284.0,1045,277.0
20805,m. Polanica-Zdrój,kłodzki,dolnośląskie,6120,0,1,3825,45,3780,1407,162,231,1395.0,481,104.0
20806,gm. Bystrzyca Kłodzka,kłodzki,dolnośląskie,15253,0,0,8499,160,8339,2183,395,724,4040.0,856,141.0
20807,gm. Kłodzko,kłodzki,dolnośląskie,13526,1,0,7018,129,6889,1446,369,1059,3376.0,530,109.0
20808,gm. Lądek-Zdrój,kłodzki,dolnośląskie,7243,3,0,3975,66,3909,1166,241,382,1627.0,436,57.0
20809,gm. Lewin Kłodzki,kłodzki,dolnośląskie,1618,0,0,861,10,851,239,53,52,351.0,127,29.0
20810,gm. Międzylesie,kłodzki,dolnośląskie,5814,0,0,3116,75,3041,886,194,257,1319.0,334,51.0
20811,gm. Nowa Ruda,kłodzki,dolnośląskie,9279,0,0,4791,85,4706,1453,290,308,1992.0,542,121.0
20812,gm. Radków,kłodzki,dolnośląskie,7242,0,0,3685,76,3609,1056,233,246,1706.0,269,99.0
20813,gm. Stronie Śląskie,kłodzki,dolnośląskie,5903,0,1,3194,48,3146,940,274,274,1147.0,444,67.0
20814,gm. Szczytna,kłodzki,dolnośląskie,5819,0,0,3067,42,3025,871,238,259,1234.0,333,90.0
20901,m. Chojnów,legnicki,dolnośląskie,10240,1,0,5674,59,5615,1304,360,386,2494.0,857,214.0
20902,gm. Chojnów,legnicki,dolnośląskie,7502,0,0,4033,62,3971,572,245,433,2198.0,409,114.0
20903,gm. Krotoszyce,legnicki,dolnośląskie,2581,0,0,1511,30,1481,258,99,111,819.0,138,56.0
20904,gm. Kunice,legnicki,dolnośląskie,5244,0,1,3459,45,3414,894,201,375,1360.0,479,105.0
20905,gm. Legnickie Pole,legnicki,dolnośląskie,3818,0,0,2340,41,2299,418,124,234,1236.0,225,62.0
20906,gm. Miłkowice,legnicki,dolnośląskie,5191,0,1,3151,39,3112,631,188,281,1480.0,398,134.0
20907,gm. Prochowice,legnicki,dolnośląskie,5849,0,0,3345,63,3282,572,197,664,1489.0,266,94.0
20908,gm. Ruja,legnicki,dolnośląskie,2034,0,0,952,17,935,121,40,112,544.0,97,21.0
21001,m. Lubań,lubański,dolnośląskie,16625,0,0,9453,78,9375,2782,563,543,3376.0,1860,251.0
21002,m. Świeradów-Zdrój,lubański,dolnośląskie,3660,0,0,2181,29,2152,652,137,141,767.0,404,51.0
21003,gm. Leśna,lubański,dolnośląskie,7858,0,0,4004,79,3925,948,252,325,1672.0,638,90.0
21004,gm. Lubań,lubański,dolnośląskie,5109,0,0,2672,34,2638,559,140,338,1163.0,359,79.0
21005,gm. Olszyna,lubański,dolnośląskie,5132,0,0,2616,53,2563,477,179,228,1063.0,560,56.0
21006,gm. Platerówka,lubański,dolnośląskie,1286,0,0,708,13,695,115,45,71,366.0,82,16.0
21007,gm. Siekierczyn,lubański,dolnośląskie,3965,0,0,2125,45,2080,445,122,200,908.0,339,66.0
21101,m. Lubin,lubiński,dolnośląskie,55518,2,0,35209,278,34931,7646,2013,1412,16453.0,5194,2213.0
21102,gm. Lubin,lubiński,dolnośląskie,12251,0,0,7811,95,7716,1662,461,462,3661.0,1083,387.0
21103,gm. Rudna,lubiński,dolnośląskie,6087,0,0,3478,60,3418,477,190,221,1970.0,388,172.0
21104,gm. Ścinawa,lubiński,dolnośląskie,7683,0,0,4339,70,4269,554,262,227,2562.0,399,265.0
21201,gm. Gryfów Śląski,lwówecki,dolnośląskie,7696,0,0,3955,72,3883,798,207,357,1495.0,940,86.0
21202,gm. Lubomierz,lwówecki,dolnośląskie,4812,0,0,2424,50,2374,547,143,299,965.0,360,60.0
21203,gm. Lwówek Śląski,lwówecki,dolnośląskie,13488,0,1,7256,130,7126,1499,488,1318,2699.0,968,154.0
21204,gm. Mirsk,lwówecki,dolnośląskie,6877,0,0,3354,63,3291,658,225,355,1460.0,494,99.0
21205,gm. Wleń,lwówecki,dolnośląskie,3445,0,0,1806,47,1759,399,105,204,752.0,226,73.0
21301,gm. Cieszków,milicki,dolnośląskie,3707,0,0,2103,32,2071,271,126,331,1065.0,224,54.0
21302,gm. Krośnice,milicki,dolnośląskie,6327,0,0,3402,53,3349,504,193,484,1746.0,288,134.0
21303,gm. Milicz,milicki,dolnośląskie,18986,0,0,10657,131,10526,2128,569,1605,4560.0,1258,406.0
21401,m. Oleśnica,oleśnicki,dolnośląskie,28770,0,0,18078,156,17922,5365,1204,1054,6625.0,2683,991.0
21402,gm. Bierutów,oleśnicki,dolnośląskie,7841,1,0,4088,60,4028,1089,267,303,1933.0,319,117.0
21403,gm. Dobroszyce,oleśnicki,dolnośląskie,5253,0,0,3044,34,3010,679,204,243,1408.0,319,157.0
21404,gm. Dziadowa Kłoda,oleśnicki,dolnośląskie,3551,0,0,1796,39,1757,343,124,271,787.0,170,62.0
21405,gm. Międzybórz,oleśnicki,dolnośląskie,3999,0,2,2027,37,1990,547,142,229,772.0,215,85.0
21406,gm. Oleśnica,oleśnicki,dolnośląskie,10504,0,0,5854,91,5763,1650,372,426,2504.0,569,242.0
21407,gm. Syców,oleśnicki,dolnośląskie,13015,2,0,7495,100,7395,1782,571,1180,2678.0,967,217.0
21408,gm. Twardogóra,oleśnicki,dolnośląskie,10221,0,0,5773,102,5671,1313,368,658,2486.0,578,268.0
21501,m. Oława,oławski,dolnośląskie,25236,0,1,16433,131,16302,5157,1184,1041,6162.0,2186,572.0
21502,gm. Domaniów,oławski,dolnośląskie,4152,0,0,2326,37,2289,412,186,209,1198.0,209,75.0
21503,gm. Jelcz-Laskowice,oławski,dolnośląskie,17797,1,0,11112,121,10991,2842,725,726,5098.0,1171,429.0
21504,gm. Oława,oławski,dolnośląskie,11833,0,1,7344,104,7240,1760,505,542,3484.0,673,276.0
21601,gm. Chocianów,polkowicki,dolnośląskie,9955,0,0,5866,98,5768,1008,442,228,3396.0,478,216.0
21602,gm. Gaworzyce,polkowicki,dolnośląskie,3026,0,0,1776,34,1742,269,102,164,990.0,159,58.0
21603,gm. Grębocice,polkowicki,dolnośląskie,4155,0,0,2243,45,2198,334,129,184,1275.0,215,61.0
21604,gm. Polkowice,polkowicki,dolnośląskie,20286,1,0,12174,177,11997,2208,722,730,6154.0,1787,396.0
21605,gm. Przemków,polkowicki,dolnośląskie,6616,0,0,3459,70,3389,569,191,198,1911.0,417,103.0
21606,gm. Radwanice,polkowicki,dolnośląskie,3721,0,0,2145,34,2111,354,118,193,1132.0,248,66.0
21701,gm. Borów,strzeliński,dolnośląskie,4295,0,0,2524,45,2479,421,123,335,1372.0,170,58.0
21702,gm. Kondratowice,strzeliński,dolnośląskie,3495,0,0,1837,46,1791,450,84,148,978.0,98,33.0
21703,gm. Przeworno,strzeliński,dolnośląskie,3904,0,0,2037,46,1991,394,97,235,1091.0,126,48.0
21704,gm. Strzelin,strzeliński,dolnośląskie,18045,0,0,10612,106,10506,3437,622,1005,4241.0,951,250.0
21705,gm. Wiązów,strzeliński,dolnośląskie,5748,0,0,3113,51,3062,545,167,240,1839.0,204,67.0
21801,gm. Kostomłoty,średzki,dolnośląskie,5647,0,0,3071,49,3022,461,208,389,1576.0,331,57.0
21802,gm. Malczyce,średzki,dolnośląskie,4631,0,2,2468,25,2443,560,161,163,1245.0,215,99.0
21803,gm. Miękinia,średzki,dolnośląskie,12564,0,0,8028,76,7952,2577,667,494,2840.0,1079,295.0
21804,gm. Środa Śląska,średzki,dolnośląskie,15434,0,0,8877,117,8760,2373,575,671,3793.0,1059,289.0
21805,gm. Udanin,średzki,dolnośląskie,4200,0,0,2270,33,2237,351,117,172,1353.0,192,52.0
21901,m. Świdnica,świdnicki,dolnośląskie,44345,8,1,27914,257,27657,10137,1691,1221,9587.0,4512,509.0
21902,m. Świebodzice,świdnicki,dolnośląskie,17557,0,0,10152,114,10038,3295,604,492,3945.0,1487,215.0
21903,gm. Dobromierz,świdnicki,dolnośląskie,4170,1,0,2144,52,2092,501,120,127,1121.0,183,40.0
21904,gm. Jaworzyna Śląska,świdnicki,dolnośląskie,8164,0,0,4303,72,4231,1014,269,212,2181.0,472,83.0
21905,gm. Marcinowice,świdnicki,dolnośląskie,5141,0,0,2990,50,2940,664,211,229,1484.0,295,57.0
21906,gm. Strzegom,świdnicki,dolnośląskie,20493,0,2,11475,173,11302,2993,710,630,5332.0,1339,298.0
21907,gm. Świdnica,świdnicki,dolnośląskie,13474,1,0,7893,105,7788,2244,541,547,3316.0,986,154.0
21908,gm. Żarów,świdnicki,dolnośląskie,9918,0,0,5484,70,5414,1334,355,272,2435.0,924,94.0
22001,gm. Oborniki Śląskie,trzebnicki,dolnośląskie,15924,2,1,10422,113,10309,3212,754,553,4044.0,1380,366.0
22002,gm. Prusice,trzebnicki,dolnośląskie,7484,0,1,4045,68,3977,846,236,295,2138.0,327,135.0
22003,gm. Trzebnica,trzebnicki,dolnośląskie,18642,2,0,11542,148,11394,3017,756,723,4788.0,1344,766.0
22004,gm. Wisznia Mała,trzebnicki,dolnośląskie,8166,0,4,5455,42,5413,1621,356,381,2223.0,634,198.0
22005,gm. Zawonia,trzebnicki,dolnośląskie,4673,1,0,2493,42,2451,566,202,207,1149.0,226,101.0
22006,gm. Żmigród,trzebnicki,dolnośląskie,11556,0,0,6106,92,6014,1381,416,547,2635.0,711,324.0
22101,m. Boguszów-Gorce,wałbrzyski,dolnośląskie,11849,0,0,5812,80,5732,2091,297,317,2062.0,801,164.0
22102,m. Jedlina-Zdrój,wałbrzyski,dolnośląskie,3748,0,1,2141,26,2115,843,101,143,688.0,297,43.0
22103,m. Szczawno-Zdrój,wałbrzyski,dolnośląskie,4836,2,0,3244,17,3227,1414,136,142,972.0,499,64.0
22104,gm. Czarny Bór,wałbrzyski,dolnośląskie,3819,0,0,2243,46,2197,591,141,158,1005.0,256,46.0
22105,gm. Głuszyca,wałbrzyski,dolnośląskie,6951,2,0,3550,54,3496,1368,172,259,1233.0,385,79.0
22106,gm. Mieroszów,wałbrzyski,dolnośląskie,5324,0,0,2745,51,2694,1013,161,116,1005.0,339,60.0
22107,gm. Stare Bogaczowice,wałbrzyski,dolnośląskie,3382,0,1,1949,32,1917,616,89,139,808.0,219,46.0
22108,gm. Walim,wałbrzyski,dolnośląskie,4475,0,0,2372,37,2335,733,123,268,927.0,245,39.0
22201,gm. Brzeg Dolny,wołowski,dolnośląskie,12708,0,0,7425,109,7316,2132,507,393,2784.0,1265,235.0
22202,gm. Wińsko,wołowski,dolnośląskie,6752,0,0,3465,63,3402,509,181,203,2186.0,235,88.0
22203,gm. Wołów,wołowski,dolnośląskie,18796,0,0,10317,147,10170,2590,655,823,4572.0,1189,341.0
22301,gm. Czernica,wrocławski,dolnośląskie,12096,1,2,8887,57,8830,3300,661,558,2917.0,1101,293.0
22302,gm. Długołęka,wrocławski,dolnośląskie,25356,1,1,18115,157,17958,5953,1356,1201,6431.0,2370,647.0
22303,gm. Jordanów Śląski,wrocławski,dolnośląskie,2530,0,0,1519,13,1506,306,100,132,782.0,135,51.0
22304,gm. Kąty Wrocławskie,wrocławski,dolnośląskie,18404,1,2,12322,102,12220,3568,845,1336,4407.0,1468,596.0
22305,gm. Kobierzyce,wrocławski,dolnośląskie,15369,0,0,10676,92,10584,4052,753,644,3205.0,1515,415.0
22306,gm. Mietków,wrocławski,dolnośląskie,3112,0,0,1847,20,1827,363,122,208,849.0,203,82.0
22307,gm. Sobótka,wrocławski,dolnośląskie,10212,0,2,5979,82,5897,1615,417,415,2503.0,708,239.0
22308,gm. Siechnice,wrocławski,dolnośląskie,16829,0,2,12074,90,11984,4080,925,752,3864.0,1653,710.0
22309,gm. Żórawina,wrocławski,dolnośląskie,8552,0,0,5538,55,5483,1727,424,419,2000.0,680,233.0
22401,gm. Bardo,ząbkowicki,dolnośląskie,4251,0,0,2215,42,2173,571,89,257,958.0,240,58.0
22402,gm. Ciepłowody,ząbkowicki,dolnośląskie,2482,0,0,1155,24,1131,228,64,154,596.0,68,21.0
22403,gm. Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,6549,0,0,3411,73,3338,744,153,429,1584.0,350,78.0
22404,gm. Stoszowice,ząbkowicki,dolnośląskie,4359,1,0,2261,59,2202,308,75,632,995.0,160,32.0
22405,gm. Ząbkowice Śląskie,ząbkowicki,dolnośląskie,17343,0,1,9726,117,9609,2972,385,973,4263.0,877,139.0
22406,gm. Ziębice,ząbkowicki,dolnośląskie,13603,0,0,6839,104,6735,1443,356,791,3393.0,619,133.0
22407,gm. Złoty Stok,ząbkowicki,dolnośląskie,3595,1,0,1856,32,1824,431,87,205,836.0,222,43.0
22501,m. Zawidów,zgorzelecki,dolnośląskie,3265,0,0,1786,36,1750,333,86,416,657.0,227,31.0
22502,m. Zgorzelec,zgorzelecki,dolnośląskie,24942,1,23,14740,120,14620,4394,686,1066,5430.0,2631,413.0
22503,gm. Bogatynia,zgorzelecki,dolnośląskie,18191,0,0,9706,179,9527,1652,653,1339,4082.0,1519,282.0
22504,gm. Pieńsk,zgorzelecki,dolnośląskie,6961,0,0,3375,64,3311,694,275,291,1416.0,555,80.0
22505,gm. Sulików,zgorzelecki,dolnośląskie,4724,0,2,2519,70,2449,430,138,297,1298.0,228,58.0
22506,gm. Węgliniec,zgorzelecki,dolnośląskie,6602,0,0,3310,66,3244,745,220,289,1458.0,446,86.0
22507,gm. Zgorzelec,zgorzelecki,dolnośląskie,6710,0,0,3613,60,3553,827,210,305,1580.0,498,133.0
22601,m. Wojcieszów,złotoryjski,dolnośląskie,2905,0,0,1438,34,1404,375,58,76,577.0,301,17.0
22602,m. Złotoryja,złotoryjski,dolnośląskie,12255,0,1,7199,81,7118,1850,305,412,2777.0,1683,91.0
22603,gm. Pielgrzymka,złotoryjski,dolnośląskie,3594,0,0,1805,52,1753,319,93,233,868.0,214,26.0
22604,gm. Świerzawa,złotoryjski,dolnośląskie,6022,0,0,3052,69,2983,773,154,276,1258.0,476,46.0
22605,gm. Zagrodno,złotoryjski,dolnośląskie,4223,0,0,2193,36,2157,294,97,219,1303.0,210,34.0
22606,gm. Złotoryja,złotoryjski,dolnośląskie,5455,0,0,2966,55,2911,574,126,295,1446.0,400,70.0
26101,m. Jelenia Góra,Jelenia Góra,dolnośląskie,61948,14,4,38965,332,38633,13449,2019,2083,12020.0,8474,588.0
26201,m. Legnica,Legnica,dolnośląskie,74607,6,31,44668,330,44338,12557,2817,2206,17610.0,7719,1429.0
26401,m. Wrocław,Wrocław,dolnośląskie,508265,67,68,361736,2041,359695,133336,28799,18235,104023.0,65927,9375.0
26501,m. Wałbrzych,Wałbrzych,dolnośląskie,84261,15,20,47282,615,46667,19671,1979,1675,15816.0,6109,1417.0
40101,m. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,9708,0,0,5343,50,5293,1284,358,487,2021.0,1037,106.0
40102,m. Ciechocinek,aleksandrowski,kujawsko-pomorskie,10849,2,0,7793,59,7734,2249,389,466,3029.0,1428,173.0
40103,m. Nieszawa,aleksandrowski,kujawsko-pomorskie,1535,0,0,866,21,845,173,62,120,366.0,113,11.0
40104,gm. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,9103,1,0,4657,81,4576,817,343,575,2194.0,567,80.0
40105,gm. Bądkowo,aleksandrowski,kujawsko-pomorskie,3461,0,0,1800,35,1765,186,104,271,950.0,229,25.0
40106,gm. Koneck,aleksandrowski,kujawsko-pomorskie,2646,0,0,1234,37,1197,107,77,183,728.0,95,7.0
40107,gm. Raciążek,aleksandrowski,kujawsko-pomorskie,2573,0,0,1419,23,1396,252,106,125,695.0,177,41.0
40108,gm. Waganiec,aleksandrowski,kujawsko-pomorskie,3614,0,0,1883,30,1853,208,108,185,1131.0,185,36.0
40109,gm. Zakrzewo,aleksandrowski,kujawsko-pomorskie,2822,0,0,1385,43,1342,157,71,247,693.0,156,18.0
40201,m. Brodnica,brodnicki,kujawsko-pomorskie,21311,1,0,12623,102,12521,2566,594,3466,4366.0,1440,89.0
40202,gm. Bobrowo,brodnicki,kujawsko-pomorskie,5038,1,0,2596,37,2559,259,122,702,1296.0,160,20.0
40203,gm. Brodnica,brodnicki,kujawsko-pomorskie,6373,0,0,3351,40,3311,497,163,1047,1287.0,286,31.0
40204,gm. Brzozie,brodnicki,kujawsko-pomorskie,2924,0,0,1602,32,1570,96,53,378,940.0,94,9.0
40205,gm. Górzno,brodnicki,kujawsko-pomorskie,3139,0,0,1665,38,1627,109,49,534,819.0,97,19.0
40206,gm. Bartniczka,brodnicki,kujawsko-pomorskie,3620,0,0,1885,39,1846,128,71,539,1004.0,92,12.0
40207,gm. Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,7055,1,0,3407,62,3345,414,258,794,1617.0,234,28.0
40208,gm. Osiek,brodnicki,kujawsko-pomorskie,3123,0,0,1518,23,1495,94,55,451,763.0,119,13.0
40209,gm. Świedziebnia,brodnicki,kujawsko-pomorskie,4076,0,0,2078,37,2041,81,90,819,960.0,83,8.0
40210,gm. Zbiczno,brodnicki,kujawsko-pomorskie,3878,0,0,2112,40,2072,263,71,705,836.0,183,14.0
40301,gm. Białe Błota,bydgoski,kujawsko-pomorskie,16119,0,1,11132,105,11027,4017,905,868,3160.0,1949,128.0
40302,gm. Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,6367,0,0,3455,53,3402,887,325,336,1347.0,459,48.0
40303,gm. Dobrcz,bydgoski,kujawsko-pomorskie,8886,0,0,5337,86,5251,1517,352,669,1912.0,744,57.0
40304,gm. Koronowo,bydgoski,kujawsko-pomorskie,18808,1,0,10271,195,10076,3348,678,772,3922.0,1250,106.0
40305,gm. Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie,7736,0,0,4617,65,4552,1376,389,402,1561.0,766,58.0
40306,gm. Osielsko,bydgoski,kujawsko-pomorskie,10602,0,0,8017,43,7974,3296,598,552,1964.0,1470,94.0
40307,gm. Sicienko,bydgoski,kujawsko-pomorskie,7937,0,0,4644,97,4547,1295,431,504,1615.0,628,74.0
40308,gm. Solec Kujawski,bydgoski,kujawsko-pomorskie,12447,0,1,7618,89,7529,2386,790,573,2385.0,1275,120.0
40401,m. Chełmno,chełmiński,kujawsko-pomorskie,14452,1,0,8184,110,8074,2968,552,616,2616.0,1232,90.0
40402,gm. Chełmno,chełmiński,kujawsko-pomorskie,4550,0,0,2128,36,2092,510,149,360,830.0,218,25.0
40403,gm. Kijewo Królewskie,chełmiński,kujawsko-pomorskie,3462,0,0,1922,59,1863,413,116,271,826.0,214,23.0
40404,gm. Lisewo,chełmiński,kujawsko-pomorskie,3927,0,4,2046,39,2007,541,119,176,988.0,160,23.0
40405,gm. Papowo Biskupie,chełmiński,kujawsko-pomorskie,3359,0,0,1516,34,1482,278,110,231,712.0,135,16.0
40406,gm. Stolno,chełmiński,kujawsko-pomorskie,4039,0,0,2020,36,1984,410,148,313,903.0,192,18.0
40407,gm. Unisław,chełmiński,kujawsko-pomorskie,5269,0,0,2706,42,2664,711,158,307,1163.0,275,50.0
40501,m. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,9484,3,3,5145,69,5076,1429,328,447,2170.0,662,40.0
40502,gm. Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie,3238,0,0,1745,39,1706,204,106,291,925.0,160,20.0
40503,gm. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,7054,0,0,3531,54,3477,722,152,447,1787.0,333,36.0
40504,gm. Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,8913,0,0,4747,53,4694,817,350,725,2254.0,478,70.0
40505,gm. Radomin,golubsko-dobrzyński,kujawsko-pomorskie,3261,0,0,1676,31,1645,149,100,232,1040.0,115,9.0
40506,gm. Zbójno,golubsko-dobrzyński,kujawsko-pomorskie,3496,0,0,1644,28,1616,171,93,249,927.0,155,21.0
40601,gm. Grudziądz,grudziądzki,kujawsko-pomorskie,9501,0,2,5256,49,5207,1258,353,721,2077.0,728,70.0
40602,gm. Gruta,grudziądzki,kujawsko-pomorskie,5041,0,0,2473,43,2430,554,152,262,1224.0,208,30.0
40603,gm. Łasin,grudziądzki,kujawsko-pomorskie,6132,0,0,2945,56,2889,481,165,356,1487.0,366,34.0
40604,gm. Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,3667,0,1,1652,29,1623,286,93,214,826.0,174,30.0
40605,gm. Rogóźno,grudziądzki,kujawsko-pomorskie,3203,0,0,1558,30,1528,211,98,235,786.0,173,25.0
40606,gm. Świecie nad Osą,grudziądzki,kujawsko-pomorskie,3293,0,0,1375,33,1342,219,68,151,773.0,120,11.0
40701,m. Inowrocław,inowrocławski,kujawsko-pomorskie,57871,1,0,35894,459,35435,13205,1706,2517,11597.0,5871,539.0
40702,gm. Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie,3975,0,0,1872,49,1823,379,99,236,939.0,133,37.0
40703,gm. Gniewkowo,inowrocławski,kujawsko-pomorskie,11111,1,0,5837,123,5714,1367,577,699,2384.0,584,103.0
40704,gm. Inowrocław,inowrocławski,kujawsko-pomorskie,9343,0,0,5278,110,5168,1322,360,707,2138.0,527,114.0
40705,gm. Janikowo,inowrocławski,kujawsko-pomorskie,10461,0,0,5808,110,5698,1789,345,569,2302.0,619,74.0
40706,gm. Kruszwica,inowrocławski,kujawsko-pomorskie,15428,0,0,8177,205,7972,1147,394,2215,3273.0,870,73.0
40707,gm. Pakość,inowrocławski,kujawsko-pomorskie,7711,0,0,4274,91,4183,1111,333,472,1717.0,476,74.0
40708,gm. Rojewo,inowrocławski,kujawsko-pomorskie,3626,0,0,1824,48,1776,320,114,226,941.0,145,30.0
40709,gm. Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie,7169,0,0,3846,102,3744,812,237,548,1638.0,425,84.0
40801,m. Lipno,lipnowski,kujawsko-pomorskie,11113,0,0,5732,109,5623,1081,330,1172,2200.0,782,58.0
